date, pm25, pm10, o3, no2, so2, co
4/17/2019,75,50,61,21,3,6
4/18/2019,124,61,91,23,3,7
4/19/2019,134,51,41,23,2,6
4/20/2019,128,32,40,14,2,5
,,,,,,
1/1/2020, ,23,24,19,3,3
1/2/2020,52,32,15,32,3,5
1/3/2020,72,43,11,29,4,6
1/4/2020,133,55,23,22,3,6
1/5/2020,137,45,25,24,3,5
1/6/2020,102,29,29,26,4,6
1/7/2020,78,33,12,29,3,11
1/8/2020,92,43,19,22,3,11
1/9/2020,119,36,23,21,3,8
1/10/2020,104,21,22,18,3,6
1/11/2020,64,29,25,19,3,7
1/12/2020,91,84,27,22,6,15
1/13/2020,181,97,28,30,5,14
1/14/2020,196,92,27,26,4,14
1/15/2020,190,41,28,22,1,5
1/16/2020,117,12,28,15,1,4
1/17/2020,50,39,25,20,3,8
1/18/2020,111,61,24,19,4,10
1/19/2020,158,69,29,26,3,11
1/20/2020,165,93,46,33,5,15
1/21/2020,192,81,47,23,4,10
1/22/2020,177,66,31,24,3,12
1/23/2020,162,33,28,13,2,8
1/24/2020,96,49,40,7,3,8
1/25/2020,121,17,29,6,2,7
1/26/2020,54,17,32,5,3,5
1/27/2020,58,23,33,5,2,6
1/28/2020,77,66,26,8,3,10
1/29/2020,164,59,43,7,5,8
1/30/2020,156,62,41,6,5,10
1/31/2020,158,47,38,10,5,9
2/1/2020,126,28,32,18,4,6
2/2/2020,81,33,41,10,4,5
2/3/2020,88,53,42,12,4,7
2/4/2020,160,18,37,9,3,4
2/5/2020,61,28,35,10,3,5
2/6/2020,77,19,32,5, ,4
2/7/2020,57,21,33,6,3,5
2/8/2020,70,33,32,6,3,5
2/9/2020,98,62,39,10,3,8
2/10/2020,155,45,42,16,4,6
2/11/2020,119,25,36,8,2,4
2/12/2020,72,43,26,15,2,8
2/13/2020,105,51,27,11,2,7
2/14/2020,124,19,27,11,1,5
2/15/2020,55,12,19,8,1,5
2/16/2020,41,31,31,5,2,5
2/17/2020,78,23,34,6,2,4
2/18/2020,56,18,33,10,3,5
2/19/2020,61,16,43,9,2,3
2/20/2020,50,17,36,15,2,3
2/21/2020,54,27,36,14,2,4
2/22/2020,75,72,47,13,3,6
2/23/2020,147,47,43,10,2,3
2/24/2020,80,54,54,11,3,5
2/25/2020,101,51,36,16,3,7
2/26/2020,143,30,35,6,2,5
2/27/2020,75,39,38,8,2,5
2/28/2020,80,40,31,15,2,7
2/29/2020,90,30,24,16,2,7
3/1/2020,74,18,32,9,2,5
3/2/2020,53,28,39,8,2,7
3/3/2020,82,29,29,14,2,5
3/4/2020,71,33,40,10,2,5
3/5/2020,96,29,41,9,2,4
3/6/2020,80,30,50,12,2,4
3/7/2020,79,55,46,17,2,6
3/8/2020,139,24,45,9, ,4
3/9/2020,71,12,37,15,2,4
3/10/2020,48,31,41,11,1,5
