date, pm25, pm10, o3, no2, so2, co
3/9/2017,173,117,61,58,19,15
3/10/2017,176,77,39,39,11,12
3/11/2017,156,105,26,48,11,16
3/12/2017,173,67,48,33,6,16
3/13/2017,161,28,42,15,4,10
3/14/2017,110,63,42,26,9,14
3/15/2017,121,65,30,37,10,12
3/16/2017,259,72,36,39,8,15
3/17/2017,164,75,25,48,7,13
3/18/2017,171,74,31,40,5,14
3/19/2017,178,69,19,34,5,14
3/20/2017,175,45,38,22,3,9
3/21/2017,131,59,31,32,5,13
3/22/2017,153,45,30,35,3,12
3/23/2017,126,52,25,29,5,16
3/24/2017,142,37,21,22,2,8
3/25/2017,121,74,36,33,5,9
3/26/2017,144,106,49,43,7,10
3/27/2017,124,118,60,52,9,11
3/28/2017,139,99,45,42,10,11
3/29/2017,142,101,41,34,12,17
3/30/2017,170,73,37,25,7,20
3/31/2017,166,51,53,20,5,10
4/1/2017,138,79,62,42,7,21
4/2/2017,164,84,79,48,10,12
4/3/2017,156,94,43,46,21,14
4/4/2017,160,92,28,46,17,14
4/5/2017,161,83,21,38,6,17
4/6/2017,171,50,25,25,4,14
4/7/2017,131,75,40,32,4,18
4/8/2017,156,67,51,32,6,20
4/9/2017,147,13,44,13,3,13
4/10/2017,64,17,35,15,2,10
4/11/2017,58,54,50,23,5,13
4/12/2017,144,80,55,41,6,16
4/13/2017,157,94,62,48,5,16
4/14/2017,158,89,60,43,7,13
4/15/2017,145,99,68,47,10,15
4/16/2017,155,92,28,37,6,18
4/17/2017,161,58,39,20,4,10
4/18/2017,90,95,45,36,6,13
4/19/2017,113,125,28,41,7,18
4/20/2017,156,73,33,23,4,11
,,,,,,
1/16/2018, ,87,17,36,6,13
1/17/2018,201,85,27,30,9,12
1/18/2018,193,90,20,31,4,13
1/19/2018,210,88,11,29,4,15
1/20/2018,226,117,4,37,8,26
1/21/2018,255,91,6,40,6,24
1/22/2018,217,75,24,34,8,17
1/23/2018,178,78,14,21,4,16
1/24/2018,192,35,13,15,3,11
1/25/2018,148,25,21,14,2,6
1/26/2018,117,32,24,14,5,7
1/27/2018,122,39,32,11,2,7
1/28/2018,145,46,35,10,3,6
1/29/2018,153,64,39,25,5,9
1/30/2018,169,70,43,45,12,15
1/31/2018,166,67,39,32,7,9
2/1/2018,161,110,26,50,17,19
2/2/2018,175,90,30,34,8,9
2/3/2018,152,69,30,20,6,7
2/4/2018,96,67,29,29,11,9
2/5/2018,122,86,33,38,8,10
2/6/2018,149,101,38,49,11,14
2/7/2018,166,111,23,54,15,15
2/8/2018,179,97,44,47,11,13
2/9/2018,175,108,26,60,20,20
2/10/2018,179,107,38,32,9,13
2/11/2018,205,124,45,48,11,13
2/12/2018,194,83,38,33,13,15
2/13/2018,110,92,46,37,12,11
2/14/2018,157,107,26,49,15,20
2/15/2018,174,83,25,18,5,10
2/16/2018,176,86,31,16,5,11
2/17/2018,180,70,40,15,8,16
2/18/2018,172,67,30,13,3,11
2/19/2018,173,33,21,13,3,8
2/20/2018,122,16,18,14,2,9
2/21/2018,82,53,27,13,2,10
2/22/2018,150,70,39,21,3,13
