date, pm25, pm10, o3, no2, so2, co
,,,,,,
1/1/2019, ,38,12,28,4,8
1/2/2019,87,43,12,39,5,8
1/3/2019,87,25,11,34,3,8
1/4/2019,66,34,20,36,4,8
1/5/2019,80,86,1,60,9,15
1/6/2019,164,43,8,26,4,10
1/7/2019,91,40,24,37,3,8
1/8/2019,79,61,9,46,5,11
1/9/2019,134,44,30,31,3,9
1/10/2019,88,38,31,35,3,8
1/11/2019,82,51,26,46,4,9
1/12/2019,108,97,5,76,9,15
1/13/2019,167,40,31,26,2,8
1/14/2019,95,49,29,36,3,10
1/15/2019,111,38,34,43,3,10
1/16/2019,96,42,13,38,4,12
1/17/2019,76,38,24,47,4,12
1/18/2019,69,44,27,40,3,11
1/19/2019,82,52,41,42,3,8
1/20/2019,96,29,37,33,2,7
1/21/2019,68,45,30,48,5,11
1/22/2019,83,64,38,61,7,11
1/23/2019,150,59,36,60,6,10
1/24/2019,142,58,48,49,5,9
1/25/2019,136,58,51,69,6,9
1/26/2019,118,63,47,57,5,9
1/27/2019,144,58,47,31,4,7
1/28/2019,124,37,38,36,4,7
1/29/2019,74,35,36,44,3,7
1/30/2019,75,32,35,35,2,6
1/31/2019,72,41,34,59,3,10
2/1/2019,90,38,25,41,2,11
2/2/2019,83,43,32,28,1,9
2/3/2019,89,59,29,44,2,9
2/4/2019,96,52,26,49,5,10
2/5/2019,101,50,31,22,1,10
2/6/2019,114,53,29,27,2,9
2/7/2019,123,25,23,28,2,8
2/8/2019,65,34,22,30,2,8
2/9/2019,70,38,24,21,1,7
2/10/2019,72,21,26,18,1,8
2/11/2019,52,28,27,24,2,8
2/12/2019,67,19,25,30,2,8
2/13/2019,56,33,27,41,2,9
2/14/2019,75,22,29,28,2,7
2/15/2019,58,22,26,30,2,8
2/16/2019,54,26,24,33,2,8
2/17/2019,63,21,29,19,1,8
2/18/2019,54,19,27,31,2,9
2/19/2019,54,20,13,32,2,9
2/20/2019,54,35,17,30,2,8
2/21/2019,80,34,13,30,2,9
2/22/2019,84,36,17,39,3,12
2/23/2019,80,27,25,28,2,10
2/24/2019,65,16,15,28,2,11
2/25/2019,43,28,19,30,2,11
2/26/2019,70,38,31,34,2,9
2/27/2019,81,44,34,40,2,9
2/28/2019,88,45,27,45,3,9
3/1/2019,91,35,28,31,2,9
3/2/2019,72,37,26,34,2,9
3/3/2019,79,30,18,40,2,9
3/4/2019,72,27,34,33,2,9
3/5/2019,65,29,39,36,2,8
3/6/2019,63,34,17,33,3,7
3/7/2019,67,12,22,27,2,7
3/8/2019,40,17,34,31,1,6
3/9/2019,54,19,30,31,2,7
3/10/2019,55,20,11,36,4,9
3/11/2019,61,24,19,40,3,9
3/12/2019,66,34,41,45,3,8
3/13/2019,84,46,52,42,2,6
3/14/2019,96,50,48,46,3,7
3/15/2019,103,37,26,47,3,8
3/16/2019,90,40,47,31,3,5
3/17/2019,76,50,61,26,2,5
3/18/2019,90,43,52,47,2,6
3/19/2019,88,42,27,46,3,7
3/20/2019,95,46,31,37,2,7
3/21/2019,97,23,20,27,3,6
